Type,Family,Common,Genus,BLH ,idBLH,BLTVA,BCTV,Barcode,Query,Organism,Sequences,Date,Time,Region,Site,HostPlant ,Year
Cannabis,Cannabaceae,Cannabis,Cannabis,52,52_2019,0,0,ITS,bc1140--bc1158,Cannabis sativa,3,2019-6-20,Late June,Paterson,475,Pigweed,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,54,54_2019,0,0,ITS,bc1140--bc1157,Cannabis sativa,89,2019-6-21,Late June,Pasco,WSU,Pigweed,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,56,56_2019,0,0,ITS,bc1140--bc1156,Cannabis sativa,10,2019-6-21,Late June,Pasco,WSU,Pigweed,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,60,60_2019,0,1,ITS,bc1140--bc1159,Cannabis sativa,2,2019-7-3,Early July,Mattawa ,RDJ,Potato,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,92,92_2019,0,0,ITS,bc1150--bc1189,Cannabis sativa,8,2019-7-5,Early July,Mattawa,WSU,Potato,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,159,159_2019,0,0,ITS,bc1123--bc1154,Cannabis sativa,3,2019-8-1,Early August,Paterson,475,Kochia,2019
Cannabis,Cannabaceae,Cannabis,Cannabis,10,10_2020,1,0,ITS,bc1150--bc1172,Cannabis sativa,10,2020-4-22,Late April,Pasco,WSU,Filaree,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,111,111_2020,0,1,ITS,bc1152--bc1171,Cannabis sativa,4,2020-5-18,Late May,Mattawa,C,Flixweed,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,217,217_2020,0,1,ITS,bc1140--bc1153,Cannabis sativa,1537,2020-6-3,Early June,Moxee,A,Flixweed,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,190,190_2020,1,0,ITS,bc1153--bc1171,Cannabis sativa,3,2020-5-27,Late May,Pasco,M,Kochia,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,193,193_2020,0,1,ITS,bc1153--bc1172,Cannabis sativa,61,2020-5-27,Late May,Pasco,M,Kochia,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,113,113_2020,1,1,ITS,bc1152--bc1172,Cannabis sativa,2894,2020-5-18,Late May,Mattawa,C,Russian thistle,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,153,153_2020,1,0,ITS,bc1152--bc1155,Cannabis sativa,2,2020-5-25,Late May,Paterson,H,Russian thistle,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,227,227_2020,0,0,ITS,bc1153--bc1189,Cannabis sativa,2,2020-6-3,Early June,Moxee,A,Russian thistle,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,201,201_2020,0,0,ITS,bc1153--bc1154,Cannabis sativa,2,2020-6-3,Early June,Moxee,A,Tumble mustard,2020
Cannabis,Cannabaceae,Cannabis,Cannabis,211,211_2020,0,1,ITS,bc1153--bc1155,Cannabis sativa,13,2020-6-3,Early June,Moxee,A,Tumble mustard,2020
Crop,Solanaceae,Cayenne Pepper ,Capsicum,91,91_2019,0,1,trnF,bc1115--bc1143,Capsicum annuum,19,2019-7-5,Early July,Mattawa,WSU,Potato,2019
Crop,Solanaceae,Cayenne Pepper ,Capsicum,91,91_2019,0,1,ITS,bc1140--bc1148,Capsicum annuum,2,2019-7-5,Early July,Mattawa,WSU,Potato,2019
Crop,Solanaceae,Chili Pepper,Capsicum,91,91_2019,0,1,trnF,bc1115--bc1143 ,Capsicum caatingae,2,2019-7-5,Early July,Mattawa,WSU,Potato,2019
Weed,Asteraceae,Safflower,Carthamus,39,39_2019,0,0,ITS,bc1140--bc1152,Carthamus tinctorius,18,2019-6-14,Early June,Pasco,505,Pigweed,2019
Grass,Poaceae,Pearl millet,Cenchrus,69,69_2019,1,0,ITS,bc1133--bc1155,Cenchrus americanus,3,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Grass,Poaceae,Pearl millet,Cenchrus,71,71_2019,0,1,ITS,bc1123--bc1155,Cenchrus americanus,5,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Grass,Poaceae,Pearl millet,Cenchrus,73,73_2019,1,0,ITS,bc1150--bc1154,Cenchrus americanus,4,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Weed,Asteraceae,Tumble knapweed,Centaurea,111,111_2019,1,0,ITS,bc1135--bc1154,Centaurea diffusa,2,2019-7-11,Early July,Paterson,107,Russian thistle,2019
Weed,Asteraceae,Spotted knapweed,Centaurea,39,39_2019,0,0,trnF,bc1109--bc1142,Centaurea maculosa,4,2019-6-14,Early June,Pasco,505,Pigweed,2019
Weed,Asteraceae,Spotted knapweed,Centaurea,111,111_2019,1,0,trnF,bc1107--bc1113,Centaurea maculosa,9,2019-7-11,Early July,Paterson,107,Russian thistle,2019
Weed,Amaranthaceae,Epazote,Chenopodium,2,2_2019,0,0,trnF,bc1112--bc1142,Chenopodium acuminatum,3,2019-6-3,Early June,Mattawa ,RDR,Russian thistle,2019
Weed,Amaranthaceae,Epazote,Chenopodium,69,69_2019,1,0,trnF,bc1108--bc1112,Chenopodium acuminatum,35,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Weed,Amaranthaceae,Epazote,Chenopodium,72,72_2019,0,0,trnF,bc1097--bc1108,Chenopodium acuminatum,36,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Weed,Amaranthaceae,Epazote,Chenopodium,73,73_2019,1,0,trnF,bc1107--bc1178,Chenopodium acuminatum,4,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Weed,Amaranthaceae,Epazote,Chenopodium,79,79_2019,1,0,trnF,bc1107--bc1176,Chenopodium acuminatum,5,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Weed,Amaranthaceae,Epazote,Chenopodium,96,96_2019,1,0,trnF,bc1110--bc1143,Chenopodium acuminatum,4,2019-7-5,Early July,Mattawa,WSU,Pigweed,2019
Weed,Amaranthaceae,Epazote,Chenopodium,114,114_2019,0,0,trnF,bc1113--bc1144,Chenopodium acuminatum,46,2019-7-11,Early July,Paterson,475,Potato,2019
Weed,Amaranthaceae,Epazote,Chenopodium,153,153_2019,0,0,trnF,bc1110--bc1144,Chenopodium acuminatum,28,2019-7-31,Late July,Mattawa,RDR,Pigweed,2019
Weed,Amaranthaceae,Epazote,Chenopodium,159,159_2019,0,0,trnF,bc1098--bc1107,Chenopodium acuminatum,4,2019-8-1,Early August,Paterson,475,Kochia,2019
Weed,Amaranthaceae,Epazote,Chenopodium,162,162_2019,0,0,trnF,bc1169--bc1177,Chenopodium acuminatum,2,2019-8-1,Early August,Paterson,475,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,40,40_2019,0,0,ITS,bc1140--bc1153,Chenopodium album,15,2019-6-14,Early June,Pasco,505,Pigweed,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,44,44_2019,0,0,ITS,bc1155--bc1156,Chenopodium album,4,2019-6-14,Early June,Pasco,WSU,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,54,54_2019,0,0,ITS,bc1140--bc1157,Chenopodium album,249,2019-6-21,Late June,Pasco,WSU,Pigweed,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,56,56_2019,0,0,ITS,bc1140--bc1156,Chenopodium album,2,2019-6-21,Late June,Pasco,WSU,Pigweed,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,69,69_2019,1,0,ITS,bc1133--bc1155,Chenopodium album,377,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,71,71_2019,0,1,ITS,bc1123--bc1155,Chenopodium album,3,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,72,72_2019,0,0,ITS,bc1124--bc1155,Chenopodium album,49,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,73,73_2019,1,0,ITS,bc1150--bc1154,Chenopodium album,2,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,79,79_2019,1,0,ITS,bc1152--bc1154 ,Chenopodium album,3,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,82,82_2019,1,0,ITS,bc1153--bc1154,Chenopodium album,34,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,114,114_2019,0,0,ITS,bc1156--bc1189,Chenopodium album,41,2019-7-11,Early July,Paterson,475,Potato,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,153,153_2019,0,0,ITS,bc1133--bc1189,Chenopodium album,32,2019-7-31,Late July,Mattawa,RDR,Pigweed,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,159,159_2019,0,0,ITS,bc1123--bc1154,Chenopodium album,2,2019-8-1,Early August,Paterson,475,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,161,161_2019,0,0,ITS,bc1150--bc1173,Chenopodium album,9,2019-8-1,Early August,Paterson,475,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,162,162_2019,0,0,ITS,bc1146--bc1173,Chenopodium album,33,2019-8-1,Early August,Paterson,475,Kochia,2019
Lambsquarter,Amaranthaceae,Common Lambsquarter,Chenopodium,167,167_2019,0,0,ITS,bc1158--bc1173,Chenopodium album,4,2019-8-2,Early August,Pasco,413,Russian thistle,2019
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,18,18_2020,0,0,ITS,bc1150--bc1155,Chenopodium album,2,2020-5-18,Late May,Moxee,A,Flixweed,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,46,46_2020,1,0,trnF,bc1111--bc1175,Chenopodium album,7,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,127,127_2020,0,0,ITS,bc1152--bc1173,Chenopodium album,11,2020-5-18,Late May,Othello,F,Kochia,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,190,190_2020,1,0,ITS,bc1153--bc1171,Chenopodium album,46,2020-5-27,Late May,Pasco,M,Kochia,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,509,509_2020,0,0,ITS,bc1133--bc1191,Chenopodium album,106,2020-6-25,Late June,Pasco,M,Kochia,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,671,671_2020,1,0,ITS,bc1123--bc1173,Chenopodium album,2,2020-8-12,Early August,Othello,G,Kochia,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,787,787_2020,1,0,trnF,bc1169--bc1177,Chenopodium album,8,2020-8-27,Late August,Othello,E,Kochia,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,108,108_2020,0,1,trnF,bc1110--bc1175,Chenopodium album,15,2020-5-18,Late May,Mattawa,C,Potato,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,577,577_2020,0,1,trnF,bc1106--bc1176,Chenopodium album,23,2020-7-15,Late July,Mattawa,D,Potato,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,107,107_2020,1,1,ITS,bc1146--bc1189,Chenopodium album,9,2020-5-18,Late May,Mattawa,C,Potato,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,153,153_2020,1,0,ITS,bc1152--bc1155,Chenopodium album,26,2020-5-25,Late May,Paterson,H,Russian thistle,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,198,198_2020,0,0,ITS,bc1153--bc1192,Chenopodium album,614,2020-5-27,Late May,Pasco,M,Russian thistle,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,199,199_2020,1,1,ITS,bc1153--bc1173,Chenopodium album,1013,2020-5-27,Late May,Pasco,M,Russian thistle,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,558,558_2020,1,1,trnF,bc1108--bc1114,Chenopodium album,167,2020-7-1,Early July,Othello,E,Russian thistle,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,616,616_2020,1,0,ITS,bc1134--bc1189,Chenopodium album,4,2020-7-16,Late July,Paterson,J,Russian thistle,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,16,16_2020,0,0,ITS,bc1150--bc1173,Chenopodium album,644,2020-5-13,Early May,Paterson,H,Russian thistle,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,299,299_2020,1,1,trnF,bc1100--bc1142,Chenopodium album,4,2020-6-3,Early June,Mattawa,B,Russian thistle,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,9,9_2020,0,0,trnF,bc1103--bc1112,Chenopodium album,9,2020-4-22,Late April,Pasco,WSU,Tumble mustard,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,182,182_2020,1,1,trnF,bc1107--bc1114,Chenopodium album,10,2020-5-27,Late May,Pasco,N,Tumble mustard,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,201,201_2020,0,0,trnF,bc1108--bc1111,Chenopodium album,9,2020-6-3,Early June,Moxee,A,Tumble mustard,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,211,211_2020,0,1,ITS,bc1153--bc1155,Chenopodium album,3,2020-6-3,Early June,Moxee,A,Tumble mustard,2020
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,412,412_2021,0,0,trnF,bc1105--bc1178,Chenopodium album,26,2021-5-26,Late May,Moxee,Moxee farm,Kochia,2021
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,541,541_2021,0,0,trnF,bc1105--bc1113,Chenopodium album,19,2021-5-26,Late May,Pasco,Pasco farm,Tumble mustard,2021
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,614,614_2020,1,1,trnF,bc1107--bc1176,Chenopodium quinoa,2,2020-7-16,Late July,Paterson,J,Russian thistle,2020
Mustard,Brassicaceae,"Blue, Purple or Musk Mustard",Chorispora,2,2_2019,0,0,ITS,bc1134--bc1140,Chorispora tenella,2,2019-6-3,Early June,Mattawa ,RDR,Russian thistle,2019
Mustard,Brassicaceae,"Blue, Purple or Musk Mustard",Chorispora,33,33_2019,0,0,ITS,bc1152--bc1155,Chorispora tenella,2,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,"Blue, Purple or Musk Mustard",Chorispora,34,34_2019,0,0,ITS,bc1153--bc1155,Chorispora tenella,2,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,"Blue, Purple or Musk Mustard",Chorispora,167,167_2019,0,0,ITS,bc1158--bc1173,Chorispora tenella,6,2019-8-2,Early August,Pasco,413,Russian thistle,2019
Mustard,Brassicaceae,Blue mustard,Chorispora,171,171_2020,0,0,ITS,bc1140--bc1152,Chorispora tenella,237,2020-5-27,Late May,Paterson,J,Russian thistle,2020
Mustard,Brassicaceae,Blue mustard,Chorispora,153,153_2020,1,0,ITS,bc1152--bc1155,Chorispora tenella,2,2020-5-25,Late May,Paterson,H,Russian thistle,2020
Mustard,Brassicaceae,Blue mustard,Chorispora,248,248_2021,1,1,trnF,bc1109--bc1144,Chorispora tenella,2,2021-5-11,Early May,Pasco,Pasco farm,Tumble mustard,2021
Crop,Cucurbitaceae,Watermelon,Citrullus,163,163_2019,0,0,trnF,bc1169--bc1176,Citrullus lanatus,3,2019-8-2,Early August,Pasco,WSU,Kochia,2019
Tree,Rutaceae,Bitter orange or Seville orange,Citrus,33,33_2019,0,0,trnF,bc1108--bc1178,Citrus aurantium,3,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Tree,Rutaceae,Bitter orange or Seville orange,Citrus,161,161_2019,0,0,ITS,bc1169--bc1178,Citrus aurantium,5,2019-8-1,Early August,Paterson,475,Kochia,2019
Tree,Rutaceae,Cam sành,Citrus,190,190_2020,1,0,trnF,bc1107--bc1120,Citrus benikoji,10,2020-5-27,Late May,Pasco,M,Kochia,2020
Tree,Rutaceae,Cam sành,Citrus,22,22_2020,0,0,trnF,bc1105--bc1110,Citrus benikoji,20,2020-5-18,Late May,Moxee,A,Tumble mustard,2020
Tree,Rutaceae,Bitter orange or Seville orange,Citrus,92,92_2019,0,0,trnF,bc1120--bc1143,Citrus clementina,14,2019-7-5,Early July,Mattawa,WSU,Potato,2019
Tree,Rutaceaae,Amanatsu,Citrus,321,321_2021,0,1,trnF,bc1108--bc1176,Citrus natsudaidai,18,2021-5-18,Late May,Moxee,Moxee farm,Flixweed,2021
Tree,Rutaceae,Sweet orange,Citrus,52,52_2019,0,0,ITS,bc1140--bc1158,Citrus sinensis,2,2019-6-20,Late June,Paterson,475,Pigweed,2019
Tree,Rutaceae,Sweet orange,Citrus,82,82_2019,1,0,ITS,bc1153--bc1154,Citrus sinensis,4,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Weed,Convolvulaceae,Field Bindweed,Convolvulus,162,162_2019,0,0,ITS,bc1146--bc1173,Convolvulus arvensis,24,2019-8-1,Early August,Paterson,475,Kochia,2019
Weed,Convolvulaceae,Field bindweed,Convolvulus,39,39_2020,1,1,trnF,bc1106--bc1109,Convolvulus arvensis,13,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Weed,Convolvulaceae,Field bindweed,Convolvulus,198,198_2020,0,0,ITS,bc1153--bc1192,Convolvulus arvensis,48,2020-5-27,Late May,Pasco,M,Russian thistle,2020
Weed,Convolvulaceae,Field bindweed,Convolvulus,201,201_2020,0,0,ITS,bc1153--bc1154,Convolvulus arvensis,17,2020-6-3,Early June,Moxee,A,Tumble mustard,2020
Weed,Convolvulaceae,Field bindweed,Convolvulus,89,89_2021,0,,trnF,bc1107--bc1114,Convolvulus arvensis,2,2021-4-13,Early April,Othello,Othello farm,Flixweed,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,203,203_2021,0,0,trnF,bc1111--bc1144,Convolvulus arvensis,6,2021-5-11,Early May,Moxee,Moxee farm,Kochia,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,248,248_2021,1,1,trnF,bc1109--bc1144,Convolvulus arvensis,2,2021-5-11,Early May,Pasco,Pasco farm,Tumble mustard,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,320,320_2021,0,0,trnF,bc1107--bc1176,Convolvulus arvensis,2,2021-5-18,Late May,Moxee,Moxee farm,Tumble mustard,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,365,365_2021,0,0,trnF,bc1106--bc1177,Convolvulus arvensis,2,2021-5-26,Late May,Moxee,Moxee farm,Flixweed,2021
Weed,Convolvulaceae,Field bindweed,Convolvulus,392,392_2021,1,0,trnF,bc1103--bc1178,Convolvulus arvensis,2,2021-5-26,Late May,Moxee,Moxee farm,Kochia,2021
Weed,Asteraceae,Common sandaster or California Aster,Corethrogyne,20,20_2019,0,0,ITS,bc1140--bc1146,Corethrogyne filaginifolia,4,2019-6-12,Early June,Mattawa ,RDR,Potato,2019
Weed,Asteraceae,Common sandaster or California Aster,Corethrogyne,33,33_2019,0,0,ITS,bc1152--bc1155,Corethrogyne filaginifolia,8,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Crop,Apiaceae,Coriander or Cilantro,Coriandrum,45,45_2019,0,0,trnF,bc1108--bc1115,Coriandrum sativum,2,2019-6-14,Early June,Pasco,WSU,Kochia,2019
Crop,Apiaceae,Coriander or Cilantro,Coriandrum,51,51_2019,0,0,trnF,bc1108--bc1113,Coriandrum sativum,3,2019-6-14,Early June,Pasco,WSU,Russian thistle,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,39,39_2019,0,0,ITS,bc1140--bc1152,Cucumis sativus,7,2019-6-14,Early June,Pasco,505,Pigweed,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,45,45_2019,0,0,ITS,bc1155--bc1159,Cucumis sativus,6,2019-6-14,Early June,Pasco,WSU,Kochia,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,52,52_2019,0,0,ITS,bc1140--bc1158,Cucumis sativus,2,2019-6-20,Late June,Paterson,475,Pigweed,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,69,69_2019,1,0,ITS,bc1133--bc1155,Cucumis sativus,5,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,72,72_2019,0,0,ITS,bc1124--bc1155,Cucumis sativus,18,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,73,73_2019,1,0,ITS,bc1150--bc1154,Cucumis sativus,2,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,93,93_2019,0,0,ITS,bc1146--bc1189,Cucumis sativus,12,2019-7-5,Early July,Mattawa,WSU,Potato,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,153,153_2019,0,0,ITS,bc1133--bc1189,Cucumis sativus,8,2019-7-31,Late July,Mattawa,RDR,Pigweed,2019
Crop,Cucurbitaceae,Cucumber,Cucumis,166,166_2019,0,0,ITS,bc1135--bc1140,Cucumis sativus,3,2019-8-2,Early August,Pasco,WSU,Pigweed,2019
Crop,Cucurbitaceae,Winter Squash or Pumpkin,Cucurbita,2,2_2019,0,0,ITS,bc1134--bc1140,Cucurbita pepo,3,2019-6-3,Early June,Mattawa ,RDR,Russian thistle,2019
Crop,Cucurbitaceae,Winter Squash or Pumpkin,Cucurbita,60,60_2019,0,1,ITS,bc1140--bc1159,Cucurbita pepo,3,2019-7-3,Early July,Mattawa ,RDJ,Potato,2019
Crop,Cucurbitaceae,pumpkin or winter squash,Cucurbita,37,37_2020,0,1,ITS,bc1146--bc1172,Cucurbita pepo,90,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Crop,Cucurbitaceae,pumpkin or winter squash,Cucurbita,792,792_2020,0,1,ITS,bc1124--bc1171,Cucurbita pepo,7,2020-8-27,Late August,Othello,E,Russian thistle,2020
Crop,Apiaceae,carrot,Daucus,509,509_2020,0,0,ITS,bc1133--bc1191,Daucus carota,2,2020-6-25,Late June,Pasco,M,Kochia,2020
Crop,Apiaceae,carrot,Daucus,171,171_2020,0,0,ITS,bc1140--bc1152,Daucus carota,55,2020-5-27,Late May,Paterson,J,Russian thistle,2020
Crop,Apiaceae,carrot,Daucus,89,89_2021,0,,trnF,bc1107--bc1114,Daucus carota,2,2021-4-13,Early April,Othello,Othello farm,Flixweed,2021
Mustard,Brassicaceae,Flixweed or Tansy Mustard,Descurainia,12,12_2019,0,0,ITS,bc1123--bc1140,Descurainia sophia,765,2019-6-3,Early June,Mattawa ,RDJ,Russian thistle,2019
Mustard,Brassicaceae,Flixweed or Tansy Mustard,Descurainia,18,18_2019,1,0,ITS,bc1124--bc1140,Descurainia sophia,51,2019-6-3,Early June,Mattawa ,RDJ,Russian thistle,2019
Mustard,Brassicaceae,Flixweed or Tansy Mustard,Descurainia,33,33_2019,0,0,ITS,bc1152--bc1155,Descurainia sophia,5,2019-6-12,Early June,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,Flixweed or Tansy Mustard,Descurainia,69,69_2019,1,0,ITS,bc1133--bc1155,Descurainia sophia,2,2019-7-3,Early July,Mattawa ,RDJ,Kochia,2019
Mustard,Brassicaceae,Flixweed,Descurainia,37,37_2020,0,1,ITS,bc1146--bc1172,Descurainia sophia,598,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,12,12_2020,0,0,ITS,bc1150--bc1191,Descurainia sophia,381,2020-4-23,Late April,Moxee,A,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,39,39_2020,1,1,ITS,bc1146--bc1190,Descurainia sophia,631,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,41,41_2020,0,1,ITS,bc1146--bc1191,Descurainia sophia,447,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,111,111_2020,0,1,ITS,bc1152--bc1171,Descurainia sophia,1473,2020-5-18,Late May,Mattawa,C,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,217,217_2020,0,1,ITS,bc1140--bc1153,Descurainia sophia,26,2020-6-3,Early June,Moxee,A,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,46,46_2020,1,0,ITS,bc1146--bc1173,Descurainia sophia,742,2020-5-18,Late May,Mattawa,B,Flixweed,2020
Mustard,Brassicaceae,Flixweed,Descurainia,28,28_2020,0,0,ITS,bc1146--bc1171,Descurainia sophia,25,2020-5-18,Late May,Moxee,A,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,99,99_2020,0,1,ITS,bc1140--bc1146,Descurainia sophia,2,2020-5-18,Late May,Mattawa,C,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,127,127_2020,0,0,ITS,bc1152--bc1173,Descurainia sophia,2,2020-5-18,Late May,Othello,F,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,190,190_2020,1,0,ITS,bc1153--bc1171,Descurainia sophia,6,2020-5-27,Late May,Pasco,M,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,193,193_2020,0,1,ITS,bc1153--bc1172,Descurainia sophia,2,2020-5-27,Late May,Pasco,M,Kochia,2020
Mustard,Brassicaceae,Flixweed,Descurainia,108,108_2020,0,1,ITS,bc1152--bc1170,Descurainia sophia,2,2020-5-18,Late May,Mattawa,C,Potato,2020
Mustard,Brassicaceae,Flixweed,Descurainia,171,171_2020,0,0,ITS,bc1140--bc1152,Descurainia sophia,140,2020-5-27,Late May,Paterson,J,Russian thistle,2020
Mustard,Brassicaceae,Flixweed,Descurainia,61,61_2020,0,0,ITS,bc1146--bc1154,Descurainia sophia,4,2020-5-18,Late May,Mattawa,B,Russian thistle,2020
Mustard,Brassicaceae,Flixweed,Descurainia,123,123_2020,0,1,ITS,bc1152--bc1191,Descurainia sophia,2,2020-5-18,Late May,Mattawa,D,Russian thistle,2020
Mustard,Brassicaceae,Flixweed,Descurainia,153,153_2020,1,0,ITS,bc1152--bc1155,Descurainia sophia,2,2020-5-25,Late May,Paterson,H,Russian thistle,2020
Mustard,Brassicaceae,Flixweed,Descurainia,199,199_2020,1,1,ITS,bc1153--bc1173,Descurainia sophia,5,2020-5-27,Late May,Pasco,M,Russian thistle,2020
Mustard,Brassicaceae,Flixweed,Descurainia,227,227_2020,0,0,ITS,bc1153--bc1189,Descurainia sophia,20,2020-6-3,Early June,Moxee,A,Russian thistle,2020
Mustard,Brassicaceae,Flixweed,Descurainia,16,16_2020,0,0,ITS,bc1150--bc1173,Descurainia sophia,2,2020-5-13,Early May,Paterson,H,Russian thistle,2020
Mustard,Brassicaceae,Flixweed,Descurainia,84,84_2020,1,1,ITS,bc1146--bc1155,Descurainia sophia,2,2020-5-18,Late May,Mattawa,B,Russian thistle,2020
Mustard,Brassicaceae,Flixweed,Descurainia,9,9_2020,0,0,ITS,bc1150--bc1171,Descurainia sophia,11,2020-4-22,Late April,Pasco,WSU,Tumble mustard,2020
