Plant Type,Family,Common Name,Genus,Organism,OTU,Sequences,Pairwise Identity,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA,BCTV,S citri,Notes
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,36,6,99.80%,198,bc1153--bc1192,ITS,Late May,2020-05-27,Pasco,M,Russian thistle,F,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,92,8,99.80%,199,bc1153--bc1173,ITS,Late May,2020-05-27,Pasco,M,Russian thistle,F,1,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,59,6,98.50%,201,bc1153--bc1154,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,77,5,99.10%,211,bc1153--bc1155,ITS,Early June,2020-06-03,Moxee,A,Tumble mustard,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,1587,422,98.30%,217,bc1140--bc1153,ITS,Early June,2020-06-03,Moxee,A,Flixweed/Pinnate tansymustard,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,262,38,97.40%,227,bc1153--bc1189,ITS,Early June,2020-06-03,Moxee,A,Russian thistle,F,0,0,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,4,93,99.80%,508,bc1133--bc1190,ITS,Late June,2020-06-25,Pasco,M,Kochia,F,0,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,23,,99.80%,556,bc1134--bc1171,ITS,Early July,2020-07-01,Mattawa,B,Russian thistle,F,1,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,1,33,99.80%,614,bc1134--bc1140,ITS,Late July,2020-07-16,Paterson,J,Russian thistle,F,1,1,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,1,15,99.80%,616,bc1134--bc1189,ITS,Late July,2020-07-16,Paterson,J,Russian thistle,F,1,0,0,RADseq
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,52,2,99.60%,16,bc1150--bc1173,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,17,2,99.20%,17,bc1150--bc1154,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,1,1,0,Extracted by Gina
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,39,2,99.60%,46,bc1146--bc1173,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,,1,0,0,RADseq
