BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV,CPt,S_citri
L10,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,A,bc1160,19,bc1166 ,16,17,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Weed,Fabaceae,Sainfoin,Onobrychis,Onobrychis viciifolia,ITS,A,bc1160,19,bc1166 ,25,7,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,A,bc1160,19,bc1166 ,6,12,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Grass,Poaceae,Bluegrass,Poa,Poa glauca,ITS,A,bc1160,19,bc1166 ,24,8,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,ITS,A,bc1160,19,bc1166 ,3,23,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L10,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,ITS,A,bc1160,19,bc1166 ,1,31,4,June,2022,44719,Prosser,Q7-Euc,eucalyptol,Cannabis,45211,122.8,2.04,1.74,1,0,0
L11,Tree,Pinaceae,Nordmann Pine,Abies,Abies nordmanniana,ITS,B,bc1161,19,bc1166 ,9,2,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
L11,Weed,Amaranthaceae,Amaranth,Blitum,Blitum petiolare,ITS,B,bc1161,19,bc1166 ,1,109,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
L11,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,B,bc1161,19,bc1166 ,8,4,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
L11,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,B,bc1161,19,bc1166 ,7,4,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
L11,Russian Thistle,Amaranthaceae,Prickly Russian Thistle,Kali,Kali turgidum,ITS,B,bc1161,19,bc1166 ,6,5,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
L11,Grass,Poaceae,Ryegrass perennial,Lolium,Lolium perenne,ITS,B,bc1161,19,bc1166 ,5,5,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
L11,Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,ITS,B,bc1161,19,bc1166 ,2,74,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
L11,Crop,Fabaceae,Pea,Pisum,Pisum sativum,ITS,B,bc1161,19,bc1166 ,26,55,4,June,2022,44719,Prosser,Q4-Car,caryophyllene,Cannabis,45211,141.9,2.05,1.69,1,1,0
